,code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point,Part_5 model
0,3266191006505.0,Barres croustillantes tout chocolat,125,La Vie Claire,426.0,9.4,34.0,12.0,6.5,0.01,0.0,d,16.0,c
1,3228857001132.0,Doo Wap pépites choco sans additif,320,Harrys,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,9.0,b
2,3228857001347.0,Brioche tranchée aux pépites de chocolat,485,Harrys,357.0,2.7,16.6,5.2,7.0,0.65,0.0,c,6.0,b
3,3270160853694.0,Petits sablés chocolat noir et sel de guérande,120,Picard,508.0,16.0,27.0,4.0,6.5,1.1,0.0,e,21.0,d
4,3228857001934.0,Brioche tranchée harrys au chocolat et à la noix de coco,450,Harrys,348.0,4.3,14.0,7.0,9.2,0.9,9.7,c,9.0,c
5,3760049797589.0,Bizz éclats choco lait,240,La Boulangere,367.0,4.1,13.0,2.1,8.3,0.96,0.0,d,12.0,b
6,3250392488598.0,Toasts de riz chocolat au lait bio,100,Regain,511.0,15.0,29.1,3.9,7.1,0.09,0.0,d,18.0,d
7,3222477445918.0,"Barres de céréales abricot, chocolat noir, amande.",120,Casino Bio,368.0,3.5,28.0,12.0,6.2,0.16,40.5,c,7.0,c
8,3222475820908.0,Bâtonnets chocolat au lait,100,"Casino Bio,Casino",568.0,24.0,45.0,0.0,8.3,0.25,0.0,e,27.0,d
9,3770013545832.0,Biscuit Tout Chocolat,100,Bam&Co,487.0,4.0,22.8,8.0,6.0,0.15,14.0,c,9.0,c
10,3560071281519.0,Assortiment de bonbons de chocolats,175,"Carrefour Bio,Carrefour",539.0,17.0,39.0,7.4,7.7,0.16,15.2,e,19.0,e
11,3501940566009.0,Petit lapin chocolat au lait bio,40,Bovetti,590.0,26.0,47.0,2.5,7.0,0.2,0.0,e,25.0,d
12,7108814119505.0,La Barre Boostée au chocolat noir,40,Nomank,388.0,2.5,22.5,7.8,8.5,0.2,0.0,b,0.0,c
13,3350033528109.0,Bâtonnets,125,"Monoprix Bio,Monoprix",513.0,14.0,34.0,2.7,6.5,0.37,0.0,e,22.0,d
14,3760121217912.0,Chocolat noir éclats d'amandes et de caramel,100,Biocoop,573.0,22.0,40.0,8.1,5.2,0.67,0.0,e,22.0,e
15,3760121217905.0,Chocolat au lait riz croustillant,100,Biocoop,562.0,22.0,43.0,2.2,6.5,0.16,0.0,e,24.0,d
16,3760152700735.0,Goutine,125,Aglina,443.0,9.6,28.0,4.6,5.9,0.01,0.0,d,16.0,d
17,3760121215291.0,Galette tout chocolat (16),110,"Bicoop, Biocoop",517.0,12.0,25.0,4.1,7.1,0.49,0.0,e,19.0,d
18,3228857001149.0,Doo Wap pépites choco sans additif,480,Harrys,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,9.0,b
19,3760077180544.0,Chocolat noir - Amandes des Pouilles,100,SAVEURS ET NATURE,579.0,22.1,21.4,11.9,10.4,0.02,20.0,d,16.0,e
20,3419390405390.0,Brioche pur beurre  chocolat,300,L'Angélus,388.0,9.7,14.0,3.1,7.4,0.8,0.0,d,16.0,c
21,3560071281489.0,Assortiments de bonbons de chocolat noir,174,"Carrefour Bio,Carrefour",539.0,18.0,37.0,5.6,9.2,0.07,16.7,e,19.0,e
22,3228857001309.0,Harrys brioche tressee aux pepites de chocolat sans additifs 500g,500,Harrys,366.0,2.5,14.0,5.0,7.5,0.75,0.0,c,7.0,b
23,3228857001156.0,DooWap pépites chocolait ss additif,320,"Harrys,Barilla",340.0,3.9,16.4,3.9,8.3,0.75,0.0,c,9.0,b
24,3700531202061.0,Lait praliné cajou,100,Belledonne,565.0,20.0,48.0,2.3,7.3,0.15,12.0,e,25.0,e
25,3501940001302.0,Tablette Noir Cannelle,100,Bovetti,617.0,31.0,26.0,12.0,6.4,0.06,0.0,d,17.0,d
26,3760286460093.0,Biscuits bio petit dej',160,Hoope,467.0,4.3,18.9,8.1,10.8,0.1,9.0,c,8.0,c
27,3560070894550.0,Bâtonnets chocolat au lait,125,Carrefour bio,534.0,16.0,35.0,2.6,6.7,0.4,0.0,e,22.0,d
28,3370077582233.0,Oeufs lactés lait,150,Saveurs & Nature,582.0,23.5,47.2,2.1,9.4,0.31,0.0,e,26.0,d
29,3396411236235.0,Chocolat noir Inde 70% de cacao,80,Bonneterre,571.0,26.0,29.0,11.0,8.7,0.02,0.0,d,18.0,d
30,3760134632009.0,Brioche pépites de chocolat,450,Maison Planchot,402.0,12.0,19.0,0.0,7.5,0.99,0.0,e,23.0,c
31,5600317476885.0,Buddha protein organic vegan bar,47,Iswari,379.0,6.0,39.0,7.7,13.0,0.25,40.25,d,12.0,d
32,3800232985215.0,Barre Candy Noix de Coco,50,Candy Ville,562.0,38.0,25.0,12.0,5.5,0.48,56.8,d,18.0,e
33,3564707135856.0,Coeur fondant,180,"Bio Village, Marque Repère",365.0,14.0,23.0,2.9,6.4,0.11,0.0,d,16.0,c
34,4104420053786.0,Dinkel Knusper Taler,100,Alnatura,582.0,18.5,22.8,8.3,10.6,0.1,23.49,d,17.0,d
35,3184340930702.0,Choc'croc Classic,100,Pural,515.0,15.0,27.0,2.8,7.9,0.79,0.0,e,22.0,d
36,3252920038411.0,Cœur fondant au chocolat,180,Grandeur Nature,364.0,13.6,22.9,2.9,6.4,0.11,0.0,d,16.0,c
37,3760077187673.0,Bouchees Coco Choc Noir,45,SAVEURS & NATURE,560.0,28.6,45.1,8.8,4.6,0.07,24.0,e,21.0,e
38,3255650080194.0,Tassiopée,96,Tassiopée,471.0,11.3,31.2,5.9,8.3,0.04,0.0,d,17.0,d
39,3700036900028.0,Barres céréalières chocolat noisettes,125,Naturalia,435.0,6.6,19.5,7.8,7.5,0.2,9.48,c,10.0,c
40,3700254081271.0,La Galette fine Chocolat,100,Trésors gourmands,473.0,14.0,33.0,0.0,7.6,1.0,0.0,e,26.0,d
41,3178530413038.0,Gaufres aux Pépites de Chocolat,300,Bonne Maman,455.0,18.0,19.0,0.0,6.2,1.1,0.0,e,23.0,d
42,3284230010825.0,8 Briochettes aux Pépites de Chocolat au Lait Bio,320,La Boulangère,365.0,4.8,17.5,1.9,8.2,0.9906,0.0,d,14.0,b
43,3700214613160.0,Lait de coco,100,Alter Eco,232.0,22.0,1.3,10.0,1.9,0.7,0.0,c,10.0,a
44,3770004620609.0,Carrés De Chocolat Praliné Aux Ténébrions Bio & Naturellement Sans Gluten,80,Micronutris,556.0,14.0,32.0,10.86,9.0,0.05,0.0,d,18.0,d
45,3760077180063.0,Chocolats fins 70% cacao - Eclats de noisettes torréfiées,100,"Saveurs Et Nature,Saveurs & Nature",546.0,23.5,23.5,12.5,11.7,0.0152,5.0,d,16.0,d
46,3800232985239.0,Barre candy coco,50,Candy Ville,552.0,37.0,25.0,12.0,5.6,0.5,53.1,d,17.0,e
47,3270160821181.0,Buche glacee,410,Picard,181.0,3.4,26.0,2.3,2.5,0.09,0.0,c,7.0,b
48,3251514251007.0,Fondant au chocolat,470,"Marie,Boncolac",390.0,13.0,33.0,3.2,6.4,0.1,0.0,d,18.0,c
49,3770013545597.0,Biscuits Noisette et Chocolat 100g BIO,100,Natifood,468.0,3.9,20.0,8.8,3.6,0.59,27.0,c,9.0,c
50,3421557600104.0,Chocolat noir éclats de noix,115,Grillon d'or,588.0,24.2,22.3,11.5,9.4,0.03,13.2,d,16.0,d
51,3760253540018.0,Les Crousticks chocolat au lait,125,Sémilia,469.0,12.2,26.1,1.2,6.5,0.01,0.0,e,19.0,d
52,3421557904059.0,Roses Des Sables Choc Noir,100,Grillon d'Or,471.0,13.7,15.6,5.7,7.5,0.03,0.0,d,13.0,c
53,3347439950313.0,Galettes d'epeautre chocolat,150,Moulin des Moines,440.0,9.85,12.62,7.83,11.16,0.01,0.0,d,11.0,d
54,3770008500020.0,Barre energetique choco-crunch,45,Go Nuts,417.0,3.1,23.7,12.12,15.1,1.0,0.0,d,12.0,d
55,3770005222420.0,Barre de céréales,30,GUSTONEO,134.0,3.0,6.0,2.5,3.0,0.05999999866,0.0,b,1.0,a
56,3270160820955.0,Brookie,80,Picard,394.0,4.8,22.0,5.9,7.0,0.3,0.0,c,8.0,c
57,3175681231313.0,Croustillant sésame chocolat bio,132,Gerblé,538.0,11.0,29.0,4.9,11.0,0.0,0.0,d,17.0,d
58,3770013545580.0,Biscuits Chocolat et cacao 100g BIO,100,Natifood,444.0,3.8,21.0,7.9,6.0,0.6,14.0,c,9.0,c
59,5231423390095.0,Mon Petit Dej Nutrition Bio Chocolat,190,ALINE & OLIVIER,448.0,2.9,17.0,6.0,10.0,0.04,9.0,b,0.0,b
60,3396413714410.0,Chocolat noir fourré praliné,100,Bonneterre,570.0,17.0,42.5,6.0,6.0,0.0254,19.874,e,21.0,e
61,3501940131009.0,Chocolat Noir Origine Saint Domingue,100,Bovetti,564.0,27.0,26.0,14.0,8.0,0.2,0.0,d,17.0,d
62,3380380092299.0,Sablé gourmets chocolat,150,"bisson, Ekibio",486.0,9.0,24.0,4.5,6.5,0.3,8.1,d,16.0,d
63,3385050000505.0,Galettes au chocolat,370,Crêperie Le Masson,281.0,3.0,31.0,0.4,5.5,0.9,0.0,d,14.0,b
64,3700531201859.0,"Chocolat Au Lait, Pavot & Sésame",100,"ETHIQUABLE,BELLEDONNE",571.0,23.0,45.0,2.7,8.1,0.19,0.75,e,24.0,d
65,3256226156046.0,Bâtonnets au chocolat au lait,125,"U Bio,U",527.0,15.0,34.0,2.8,6.6,0.4,0.0,e,22.0,d
66,3596710472796.0,Coeur fondant au chocolat noir,180,Auchan,359.0,13.0,24.0,2.2,6.6,0.12,0.0,d,17.0,c
67,3228857001163.0,DooWap pépites chocolait ss additif,480,Harrys,340.0,3.9,16.4,3.9,8.3,0.75,0.0,c,9.0,b
68,3571375922206.0,Gateau Amandes Et Chocolat,225,Biscuiterie de Provence,441.0,7.5,19.0,6.4,12.0,0.1,30.0,d,11.0,c
69,3701367600168.0,Les minis boulettes Tout chocolat Bio,120,Les Fabuleuses,348.9,6.0,42.2,3.9,5.1,0.0,64.0,d,12.0,b
70,3770008500013.0,Barre cacahuètes,45,Go Nuts,496.0,5.08,23.65,7.84,15.54,0.35,0.0,c,10.0,d
71,3760077180230.0,Chocolat 70 % écorces d'orange confites,100,Chocolaterie Saveurs&Nature,541.4,24.48,23.13,12.13,7.16,0.0,10.0,d,16.0,c
72,3770013545894.0,Biscuits Chocolat et Noisettes 100g BIO,100,Bam&Co,512.0,3.8,22.0,8.4,5.9,0.15,27.0,c,8.0,c
73,3270160587551.0,Fondant au Chocolat,470,Picard,414.0,16.0,32.0,2.2,6.4,0.12,0.0,e,20.0,c
74,4006040021520.0,BARRE MUESLI AU CHOCOLAT 4X29G SANS HUILE DE PALME,120,Rapunzel,383.0,2.5,21.0,3.0,5.0,0.6,0.0,c,9.0,b
75,3268350120213.0,Biscuits Twibio Double Chocolat Au Lait Bio & équitable,150,Le moulin du pivert,534.0,9.8,31.1,4.2,5.8,0.15,3.0,d,18.0,d
76,3700531201965.0,Chocolat noir menthe poivrée,100,Belledonne,534.0,23.0,33.0,9.1,5.5,0.15,0.0,d,18.0,d
77,3770004621255.0,Chocolat Noir Ténébrio,70,Micronutris,384.6,18.18,17.15,7.8,6.87,0.02,0.0,d,12.0,b
78,3770018153018.0,Biscuits anti-gaspi,250,In extremis,337.0,2.6,12.0,6.2,5.9,0.36,9.0,b,1.0,b
79,3256227742842.0,Truffes 89% chocolat noir pur beurre cacao BIO,180,"U Bio,U",587.0,27.0,38.0,6.7,5.0,0.01,0.0,e,20.0,d
80,3560070475964.0,Orangettes,150,"CARREFOUR BIO, Carrefour",439.0,11.0,53.0,4.6,3.9,0.08,60.0,e,20.0,d
81,3396410024130.0,Noir Sélection Pérou,100,Bonneterre,580.0,28.0,24.0,11.0,7.0,0.0254,0.0,d,17.0,d
82,3560071182687.0,Fondant au Chocolat,180,"Carrefour Bio,Carrefour",364.0,14.0,23.0,2.9,6.4,0.11,0.0,d,16.0,c
83,3370077581403.0,Sélection noir et lait,200,Saveurs & Nature,520.0,19.9,39.4,5.1,6.5,0.12,0.0,e,19.0,d
84,7610202330183.0,Chocolate con néctar de coco ecológico,100,Chocolat Stella,597.0,31.0,34.0,6.0,6.0,0.2,20.0,e,19.0,e
85,3760054740716.0,4 pains au chocolat pur beurre,220,Cyril Pinabel,427.0,12.23,12.6,2.8,6.6,0.7,0.0,d,18.0,c
86,3350033237933.0,Macaron aux amandes et chocolat sans gluten,120,MONOPRIX GOURMET,450.0,2.2,45.0,5.5,13.0,0.1,38.0,d,11.0,c
87,3350033706378.0,Brownie,285,"Monoprix Bio,Monoprix",473.0,7.5,36.0,3.4,5.8,0.25,15.0,d,17.0,d
88,3350033531512.0,Eclats de chocolat noir,120,"Monoprix Gourmet,Monoprix",538.0,20.0,42.0,7.2,7.3,0.27,10.3,e,21.0,e
89,3770003574149.0,Chocolat artisanal de l'ariege gingembre,70,Bouga Cacao,503.0,15.0,30.6,10.9,7.0,0.2,0.0,d,17.0,d
90,3700531201927.0,Chocolat noir éclats d'amandes,100,Belledonne,576.0,25.0,24.0,5.8,9.3,0.18,0.0,d,17.0,d
91,3760077183736.0,Bouchees Coco Chocolat Noir,45,Ikalia,560.0,28.6,42.5,8.8,4.6,0.268,24.0,e,21.0,e
92,3700531211681.0,Collection Découverte,120,Belledonne,561.0,21.0,39.0,5.1,7.0,0.19,8.667,e,19.0,d
93,3266191085722.0,Bâtonnets au chocolat au lait,125,La Vie Claire,528.0,15.0,36.0,2.5,6.5,0.36,0.0,e,22.0,d
94,3256227742873.0,Assortiment de chocolat,180,"U, U Bio",556.0,18.0,38.0,4.2,8.0,0.18,13.0,e,20.0,e
95,3350031895135.0,Boîte de chocolat giandujas aux noisettes,170,"Monoprix Gourmet,Monoprix",586.0,16.0,44.0,2.3,8.2,0.15,0.0,e,24.0,d
96,3263858827213.0,Fondant au chocolat,180,Franprix,361.0,13.0,24.0,2.2,6.6,0.12,0.0,d,17.0,c
97,3770003574187.0,Chocolat noir graines de courge et anis,70,Bouga Cacao,533.1,42.0,20.1,12.9,9.5,0.2,0.0,d,15.0,d
98,3770003574293.0,Bouga Cacao - Chocolat artisanal,70,Nature Bio,570.0,32.4,0.3,16.7,11.6,0.0,0.0,d,12.0,d
99,4104420053700.0,Nougat praliné,100,Alnatura,584.0,19.0,45.0,2.4,7.8,0.25,35.0,e,25.0,e
100,3700531202122.0,ST-DOMINGUE noir 74%,100,Belledonne,568.0,27.0,26.0,14.0,8.0,0.200000003,0.0,d,17.0,d
101,3770003574125.0,Chocolat artisanal de l'Ariège,70,Bouga Cacao,535.64,25.5,21.49,13.08,8.44,0.22,0.0,d,15.0,d
102,3760091728487.0,Pâte de datte et fruits séchés - Physalis Grenade,105,Ethiquable,379.0,4.9,26.0,9.9,4.1,0.0,48.0,c,7.0,b
103,3760077180193.0,Truffes Cacao,100,Saveurs & Nature,517.0,21.7,38.2,0.0,7.7,0.05,0.0,e,24.0,d
104,3700152400723.0,Chocolat Bonnat voiron,100,"Bonnat,Chocolat Bonnat",592.0,21.2,33.4,0.0,8.6,0.0,0.0,e,24.0,d
105,3700531202085.0,Belledonne collection à patisser,100,Belledonne,543.0,24.0,47.0,5.0,6.0,0.009999999776,0.0,e,21.0,d
106,42100522.0,"Gefüllte Vollmilchschokolade, Mit Kokosf&uuml...",40,Alnatura,541.0,28.0,41.0,7.8,4.0,0.0,11.111,e,20.0,e
107,3421557600050.0,CHOCOLAT LAIT CARAMEL BEURRE SALEE,100,Grillon D'or,577.0,24.1,44.5,2.5,5.9,0.36,0.0,e,25.0,d
108,3421557600074.0,Chocolat Noir Au Café De Sumatra - 100G - Grillon D'or (céréco),100,Grillon D'or,576.0,27.4,26.8,10.1,7.9,0.04,0.0,d,17.0,d
109,3595120012974.0,Baies de goji choco noir,100,Maison Roucadil,405.0,6.4,41.9,6.9,12.7,0.3,75.0,d,14.0,d
110,3760091728449.0,Barre Physalis Grenade pâte de datte et fruits séchés,35,Ethiquable,379.0,4.9,26.0,9.9,4.1,0.0,48.0,c,7.0,b
111,3770003574194.0,Chocolat artisanal de l’Ariège,70,Bouga Cacao,529.0,0.0,21.2,12.9,8.3,1.4,0.0,d,11.0,d
112,3266191008981.0,Florentins,100,La Vie Claire,513.0,14.4,47.8,4.0,6.5,0.04,16.0,e,22.0,d
113,3474340016354.0,Monbana 65% de Cacao,35,Monbana,559.0,26.0,32.0,0.0,6.8,0.0,0.0,e,23.0,d
114,7613036669146.0,NESTLE CHOCAPIC BIO Céréales 375g,375,Nestlé,391.0,1.6,22.5,7.9,8.8,0.22,0.0,a,-1.0,c
115,5010477360755.0,Granola,400,Jordans,460.0,3.8,3.8,16.9,11.1,0.03,6.0,a,-2.0,c
116,5010029204735.0,Weetabix crispy minis,"450  - €.4,23",Weetabix - Conad,386.0,2.3,17.0,10.0,10.0,0.16,0.0,a,-1.0,c
