,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,part_6,part_5,part_4Neo,part_4Nei
0,13305116,115,0.6,7.8,2.4,3,0.11,0,a,a,a,b,c
1,13474393,354,0.15,4.45,3.03,14.41,1.11,0,b,b,a,b,e
2,17407496,582,6.4,44,3.8,6.7,0.09,13,d,d,c,d,c
3,17461221,500,12,34,2,7,1.5,0,e,e,d,e,e
4,17894722,183,5.9,5.9,1.2,3,0.41,0,e,b,a,d,d
5,19365664,184,6.2,15,0,5.6,0.12,0,d,c,a,d,c
6,19721945,429,6.2,12.6,7.2,13.3,0.15,8,c,c,c,b,d
7,2.00E+12,444,9.4,27.9,3.5,5.6,0.01,0,d,d,c,d,c
8,2.00E+12,469,12.2,26.1,1.2,6.5,0.01,0,e,e,d,e,c
9,2.00E+12,210,2,13,5,12,0.6604,12.5,d,b,b,b,e
10,2.00E+12,86,1.2,12.8,1.9,0.7,0,80,d,b,a,b,a
11,2.00E+12,430,3.8,20,8,9.6,0.02,2,c,c,b,a,c
12,20001216,380,1,28.8,5,8.8,0.6858,0,c,c,c,c,e
13,20008574,248,1.4,3.9,6.7,0.48,2.5,0,c,b,a,d,e
14,20010373,388,1.2,29.4,6.9,7,0.6604,0.5,c,c,c,c,e
15,20083960,378,1.1,24.5,7.3,10,0.48,0,c,c,c,b,e
16,20100000,378,1.1,24.5,7.3,10,0.48,0,c,c,c,b,e
17,20206093,480,13.5,21.5,6,6.9,0.02,0,d,d,c,c,c
18,2.03E+11,437,14,33,2.5,6.3,0.09,0,e,e,c,e,c
19,2.00E+12,430,3.8,20,8,9.6,0.02,2,c,c,b,a,c
20,20000000,248,1.4,3.9,6.7,0.48,2.5,0,c,b,a,d,e
21,21908509365,422,4.44,44.44,8.9,8.89,167.5,0,d,d,d,e,e
22,24062299,490,15,24,0,6.6,0.01,0,e,e,c,e,c
23,26049748,152,3.2,20,0,4.2,0.1,0,c,c,b,d,c
24,26077345,374,4.3,20,0,8.9,0.05,0,d,c,b,c,c
25,2.70E+12,0,0,0,0,0,0,0,b,a,a,b,a
26,27038284,436,4,17,8.5,8.3,0,0,c,c,b,a,c
27,2.73E+12,660,10.1,15.6,9,12,0.03,80,d,d,d,b,a
28,27000000,436,4,17,8.5,8.3,0,0,c,c,b,a,c
29,28000033279,571.4285714,21.42857143,42.85714286,7.142857143,7.142857143,0,0,e,e,e,e,c
30,28000394257,571,21.43,42.86,7.1,7.14,0,0,e,e,e,e,c
31,2194110,475,7,18,8,8,0,0,c,c,c,b,c
32,3.02E+12,148,5.4,14.6,0,2.6,0.1,0,c,c,a,d,c
33,3.02E+12,148,5.4,14.6,0,2.6,0.1,0,c,c,a,d,c
34,3.05E+12,413,5.8,11,6.3,9,0.06,0,c,c,c,a,c
35,3.05E+12,233,1.5,22.86,4.81,5.77,0.03,0,b,b,b,a,a
36,3.11E+12,388,2.4,18,9,11,0.2,0,a,b,b,a,d
37,3.11E+12,396,2.5,13,3.5,7.2,0.01,0,b,b,b,a,c
38,3.11E+12,390,2.1,16,38,6.4,0.18,0,c,b,b,a,d
39,3.11E+12,410,3.6,22,3.3,7.3,0.26,0,c,c,c,b,d
40,3.16E+12,381,1,29,5,9,0.775,0,c,c,c,c,e
41,3.17E+12,448,9.7,54.8,1.5,14.6,0.3,0,e,e,d,e,d
42,3.18E+12,464,5.7,22,7.9,8.4,0.31,0,c,c,c,b,d
43,3.18E+12,538,11,29,4.9,11,0,0,d,d,d,d,c
44,3.18E+12,565,22,52,0,5.6,0.29,0,e,e,e,e,d
45,3.18E+12,455,18,19,0,6.2,1.1,0,e,e,c,e,e
46,3.18E+12,500,11,36,2.3,7.2,0.45,0,e,e,d,e,e
47,3.18E+12,321,0.7,54,0,1.1,0.02,0,d,d,a,e,a
48,3.18E+12,515,15,27,2.8,7.9,0.79,0,e,e,e,e,e
49,3.18E+12,218,8,17,0,4.5,0.1,0,d,d,b,d,c
50,3.22E+12,379,1.7,25,7.9,9.7,0.19,0,b,b,d,a,d
51,3.22E+12,495,14,21,6.6,7.5,0.02,0,d,d,c,c,c
52,3.22E+12,568,24,45,0,8.3,0.25,0,e,e,e,e,d
53,3.22E+12,495,14,21,6.6,7.5,0.02,0,d,d,c,c,c
54,3.22E+12,513,15,29,3.9,7.1,0.1,0,d,d,d,d,d
55,3.22E+12,487,13,20,9.3,7,0,0,d,d,c,c,c
56,3.22E+12,162,4.7,13,1.6,5.7,0.11,0,c,c,a,c,c
57,3.22E+12,246,14,13,3.1,2.7,0.02,78,d,d,a,d,a
58,3.22E+12,171,5.7,15,1.6,5.2,0.11,0,c,c,a,c,c
59,3.22E+12,473,12,20,6.8,7.7,0,0,d,d,c,c,c
60,3.22E+12,485,12,25,3,7.5,0.08,0,d,d,d,d,c
61,3.22E+12,374,1,19,9.8,11,0.2,0,a,b,b,a,d
62,3.22E+12,368,3.5,28,12,6.2,0.16,40.5,c,c,b,b,c
63,3.23E+12,340,3.5,18,4.4,8,0.75,0,c,c,b,d,e
64,3.23E+12,340,3.5,18,4.4,8,0.75,0,c,c,b,d,e
65,3.23E+12,340,3.9,16.4,3.9,8.3,0.75,0,c,c,b,c,e
66,3.23E+12,340,3.9,16.4,3.9,8.3,0.75,0,c,c,b,c,e
67,3.23E+12,366,2.5,14,5,7.5,0.75,0,c,c,b,c,e
68,3.23E+12,357,2.7,16.6,5.2,7,0.65,0,c,c,b,c,e
69,3.23E+12,348,4.3,14,7,9.2,0.9,9.7,c,c,b,d,e
70,3.23E+12,505,16,24,6.3,7.5,0.05,6,d,d,c,d,c
71,3.23E+12,461,4.3,15,8.2,10,0.03,0,c,c,b,a,c
72,3.23E+12,504,16,24,6.3,7.5,0.1,6,d,d,c,d,d
73,3.23E+12,434,4.3,15,9.8,9.3,0.07,0,c,c,b,a,c
74,3.23E+12,493,14,27,3.5,7.8,0.09,0,d,d,d,d,c
75,3.23E+12,478,14,22,5.8,6.8,0.02,0,d,d,c,c,c
76,3.23E+12,80,0.5,11,1.1,1.3,0.05,3,b,b,a,b,a
77,3.23E+12,494,14,27,4.9,7.199999809,0,0,d,d,d,d,c
78,3.23E+12,72,0.6,7,0.9,3.8,0.09,0,a,a,a,b,a
79,3.23E+12,80,0.8,8,0.9,4,0.125,0,a,a,a,b,c
80,3.23E+12,438,5,14,11,11,0,0,c,c,c,a,c
81,3.23E+12,420,3.1,12,8.9,10,0.01,0,b,c,b,a,c
82,3.23E+12,426,4,14,9.6,9.6,0.07,0,c,c,b,a,c
83,3.22E+12,368,3.5,28,12,6.2,0.16,35.7,c,c,b,b,d
84,3.23E+12,340,3.5,18,4.4,8,0.75,0,c,c,b,d,e
85,3.25E+12,479,14,22,6.3,6.8,0,0,d,d,c,c,c
86,3.25E+12,511,15,29.1,3.9,7.1,0.09,0,d,d,d,d,c
87,3.25E+12,391,1.2,28.5,3.5,6.6,0.42,0,c,c,b,c,e
88,3.25E+12,387,1.4,28,4.9,7.1,0.39,0,c,c,c,b,e
89,3.25E+12,461,6.3,21.1,8.5,8.4,0.01,0,c,c,c,b,c
90,3.25E+12,497,14,25,5.2,7.3,0.01,0,d,d,d,d,c
91,3.25E+12,392,1.4,28.6,3.1,6.6,0.4,0,c,c,b,c,e
92,3.25E+12,511,15,29.1,3.9,7.1,0.09,0,d,d,d,d,c
93,3.25E+12,385,1.3,24.3,2.2,8.6,0.06,0,c,b,b,b,c
94,3.25E+12,176,5.7,15,2.8,5.4,0.12,0,c,c,a,c,c
95,3.25E+12,322,12.7,23.8,4.7,8.6,0.19,0,d,d,c,d,d
96,3.25E+12,434,2.6,28.5,7.8,9.9,0.34,0,c,c,d,b,d
97,3.25E+12,390,13,33,3.2,6.4,0.1,0,d,e,c,e,d
98,3.25E+12,422,13,29,3,5.9,0.08,0,d,d,c,e,c
99,3.25E+12,65,0.76,10.4,0,3.43,0.08,0,b,b,a,b,a
100,3.25E+12,364,13.6,22.9,2.9,6.4,0.11,0,d,d,c,e,d
101,3.25E+12,348,15.1,18,1,8,0.31,0,d,d,b,e,d
102,3.25E+12,380,1,26,6.5,9,0.5,0,c,c,d,b,e
103,3.25E+12,384,1,30,2.9,6.5,0.45,0,c,c,b,c,e
104,3.26E+12,471,11.3,31.2,5.9,8.3,0.04,0,d,d,d,d,c
105,3.26E+12,389,1.4,32,3.5,7,0.33,0,c,c,b,c,d
106,3.26E+12,502,14.9,23.9,6,6.6,0.01,0,d,d,c,d,c
107,3.26E+12,326,0.5,24,2.5,6.8,0.29,0,c,b,b,b,d
108,3.26E+12,492,14.3,27.5,2.4,7,0.1,0,e,e,d,e,d
109,3.26E+12,492,13.8,21.7,6.2,7.4,0.03,0,d,d,c,c,c
110,3.26E+12,379,1.2,24,8.9,9.9,0.43,0,c,c,c,b,e
111,3.26E+12,196,6.1,15,1.5,5.6,0.12,0,c,c,a,d,c
112,3.26E+12,527,15,34,2.8,6.6,0.4,0,e,e,e,e,e
113,3.26E+12,483,13,24,2.7,7.2,0.1,0,e,e,c,e,d
114,3.26E+12,479,14,22,7.1,7.4,0.01,0,d,d,c,c,c
115,3.26E+12,364,1.7,20,8.7,9.8,0.42,0,b,b,b,b,e
116,3.26E+12,152,3.2,20,1,4.2,0.1,0,c,c,b,c,c
117,3.26E+12,573,23,49,1.8,6.7,0.21,0,e,e,e,e,d
118,3.26E+12,573,23,49,1.7,6.7,0.21,0,e,e,e,e,d
119,3.26E+12,587,27,38,6.7,5,0.01,0,e,e,e,e,c
120,3.26E+12,556,18,38,4.2,8,0.18,13,e,e,e,e,d
121,3.26E+12,156,4.5,13,1.9,5.4,0.1,0,c,c,a,c,c
122,3.26E+12,320,13,21,3,6.9,0.16,0,d,d,c,d,c
123,3.26E+12,374,0.8,18,3,6.9,0.01,0,b,b,b,a,c
124,3.26E+12,394,2.1,19,11,9.2,0.01,0,b,b,b,a,c
125,3.26E+12,483,14,22,6.3,6.8,0.02,0,d,d,c,c,c
126,3.26E+12,393,1.5,29,6.9,9.3,0.26,0,c,c,d,b,d
127,3.26E+12,390,1.2,31,3.9,7.4,0.34,0,c,c,b,b,d
128,3.26E+12,49,0.27,3.52,0.9,1.7,0.005,0,a,a,a,b,a
129,3.26E+12,391,1.2,28.5,3.5,6.6,0.42,0,c,c,b,c,e
130,3.26E+12,493,14.2,27.2,4.9,7.2,0.5,0,e,d,d,e,e
131,3.26E+12,535,6,35.6,8.2,11.6,0,0,d,d,d,b,c
132,3.26E+12,531,8.3,31,4.7,11,0,0,d,d,c,c,c
133,3.26E+12,501,18,31,5,7.7,0.33,0,d,d,d,e,d
134,3.26E+12,383,1,29,2.9,6.8,0.79,0,c,c,b,d,e
135,3.26E+12,390,1.7,30,6.2,9,0.2,0,c,c,c,b,d
136,3.26E+12,394,1.4,30,6.5,7.5,0.37,0,c,c,c,b,e
137,3.26E+12,479,14,21.6,6.3,6.8,0,0,d,d,c,c,c
138,3.26E+12,473,12,20,6.8,7.7,0,0,d,d,c,c,c
139,3.26E+12,504,11,29,4.9,8.7,0.6,0,e,d,d,e,e
140,3.26E+12,361,13,24,2.2,6.6,0.12,0,d,d,c,e,d
141,3.27E+12,487,14.7,28.3,1.6,6.8,0.12,0,e,e,d,e,d
142,3.27E+12,426,9.4,34,12,6.5,0.01,0,d,d,d,d,c
143,3.27E+12,493,14,27,5,7.2,0,0,d,d,d,d,c
144,3.27E+12,497,14,27,3.5,7.8,0.1,0,d,d,d,d,d
145,3.27E+12,484,15,24,6,6.1,0,0,d,d,c,d,c
146,3.27E+12,513,14.4,47.8,4,6.5,0.04,16,e,e,d,e,c
147,3.27E+12,103,0.5,13,1.1,3.5,0.15,0,b,b,a,b,c
148,3.27E+12,503,12.8,60.3,0,5.7,0.1,0,e,e,d,e,d
149,3.27E+12,422,2.8,26,6.9,8.9,0.7,0,c,c,d,c,e
150,3.27E+12,411,4.4,12,12,11,0.02,0,c,c,c,a,c
151,3.27E+12,452,9.6,22,3.2,6.6,0.7,0,d,d,c,e,e
152,3.27E+12,528,15,36,2.5,6.5,0.36,0,e,e,e,e,d
153,3.27E+12,534,9.8,31.1,4.2,5.8,0.15,3,d,d,d,e,d
154,3.26E+12,390,1.7,30,6.2,9,0.2,0,c,c,c,b,d
155,3.27E+12,414,16,32,2.2,6.4,0.12,0,e,e,c,e,d
156,3.27E+12,394,4.8,22,5.9,7,0.3,0,c,c,c,b,d
157,3.27E+12,181,3.4,26,2.3,2.5,0.09,0,c,c,b,c,a
158,3.27E+12,508,16,27,4,6.5,1.1,0,e,d,e,e,e
159,3.27E+12,469,6.1,21,9.3,9.5,0.2,0,c,c,c,b,d
160,3.27E+12,469,6.1,21,9.3,9.5,0.2,0,c,c,c,b,d
161,3.27E+12,483,6,20,9,9.6,0.2,0,c,c,c,b,d
162,3.27E+12,460,3.6,21,8,9,0.24,0,c,c,c,b,d
163,3.27E+12,469,6.1,21,9.3,9.5,0.2,0,c,c,c,b,d
164,3.28E+12,123,1.3,18,0,7.1,0.29,0,b,b,a,c,d
165,3.28E+12,123,1.3,18,0,7.1,0.29,0,b,b,a,c,d
166,3.28E+12,104,1.2,14,0,6.2,0.14,0,b,b,a,b,c
167,3.28E+12,370,17,23,0,6.6,0.33,0,e,e,c,e,d
168,3.28E+12,111,1.1,17,0,5.7,0.22,0,b,b,a,c,d
169,3.28E+12,111,1.1,18,0,5.7,0.22,0,b,b,a,c,d
170,3.28E+12,115,1.1,18,0,5.7,0.22,0,b,b,a,c,d
171,3.28E+12,111,1.1,18,0,5.7,0.2,0,b,b,a,c,d
172,3.28E+12,123,1.3,18,0,7.1,0.29,0,b,b,a,c,d
173,3.28E+12,121,1.3,19,0,6.8,0.27,0,c,b,a,c,d
174,3.27E+12,411,4.4,12,12,11,0.02,0,c,c,c,a,c
175,3.28E+12,365,4.8,17.5,1.9,8.2,0.9906,0,d,c,b,e,e
176,3.29E+12,420,3.8,23,3.9,7,0.29,0,c,c,c,c,d
177,3.29E+12,387,1.6,21,7.6,9.7,0.18,0,a,b,c,a,d
178,3.30E+12,159,6.5,17,1.2,1.5,0.02,0,c,c,b,d,a
179,3.30E+12,177,8.5,17,1.2,1.6,0.01,0,d,d,a,e,a
180,3.32E+12,464,3.7,36,2.6,7.1,0.85,0,d,d,d,e,e
181,3.33E+12,449,5,20.2,6.5,9.5,0.02,0,c,c,c,a,c
182,3.34E+12,304,11.5,26.6,1.2,7.6,0.27,0,d,d,d,e,d
183,3.35E+12,403,6.5,9.79,8.26,11.42,0.029,0,c,c,b,a,c
184,3.35E+12,423,3.95,19.07,5.82,8.83,0.1,0,c,c,b,a,d
185,3.35E+12,473,9.83,12.62,3.03,7,0.02,0,d,d,b,c,c
186,3.35E+12,440,9.85,12.62,7.83,11.16,0.01,0,d,d,c,b,c
187,3.35E+12,448,10.08,12.35,3.97,7.26,0.02,0,d,d,b,c,c
188,3.35E+12,357,2.4,7,9.3,9.9,0.08,0,a,a,b,a,c
189,3.35E+12,440,9.85,12.62,7.83,11.16,0.01,0,d,d,c,b,c
190,3.35E+12,436,9.83,13.92,5.11,10.25,0.01,0,d,d,c,b,c
191,3.35E+12,586,16,44,2.3,8.2,0.15,0,e,e,e,e,d
192,3.35E+12,380,1.7,20,8.3,9.3,0.0762,0,a,b,b,a,c
193,3.35E+12,390,1.7,30,6.2,9,0.23,0,c,c,c,b,d
194,3.35E+12,450,2.2,45,5.5,13,0.1,38,d,c,c,b,d
195,3.35E+12,495,14,21,6.6,7.5,0.02,0,d,d,c,c,c
196,3.35E+12,513,14,34,2.7,6.5,0.37,0,e,e,d,e,e
197,3.35E+12,538,20,42,7.2,7.3,0.27,10.3,e,e,e,e,d
198,3.35E+12,640,9.3,36,5.2,9,0.05,0,d,d,d,d,c
199,3.35E+12,409,5,17,10,11,0,0,c,c,c,a,c
200,3.35E+12,473,7.5,36,3.4,5.8,0.25,15,d,d,d,e,d
201,3.35E+12,619,9.2,30,6.4,9.3,0.02,0,d,d,d,c,c
202,3.35E+12,403,6.5,9.79,8.26,11.42,0.029,0,c,c,b,a,c
203,3.37E+12,520,19.9,39.4,5.1,6.5,0.12,0,e,e,e,e,d
204,3.37E+12,582,23.5,47.2,2.1,9.4,0.31,0,e,e,e,e,d
205,3.37E+12,578,25,46.5,0,6.1,1.05,0,e,e,e,e,e
206,3.37E+12,348,15,18,0,8,0.31,0,d,d,b,e,d
207,3.37E+12,348,15,18,0,8,0.31,0,d,d,b,e,d
208,3.37E+12,348,15,18,0,8,0.31,0,d,d,b,e,d
209,3.38E+12,407,5.26,10,8.6,10.8,0.098,0,c,c,c,a,d
210,3.38E+12,486,9,24,4.5,6.5,0.3,8.1,d,d,c,d,d
211,3.39E+12,281,3,31,0.4,5.5,0.9,0,d,d,b,e,e
212,3.38E+12,407,5.26,10,8.6,10.8,0.098,0,c,c,c,a,d
213,3.40E+12,580,28,24,11,7,0.0254,0,d,d,c,d,c
214,3.40E+12,380,1,34,3.6,6.7,0.5,0,c,c,b,c,e
215,3.40E+12,380,0.5,36,3,7,0.375,0,c,c,b,c,e
216,3.40E+12,491,15.60000038,25.20000076,4.9,5.699999809,0.029999999,0,d,d,d,d,c
217,3.40E+12,478,14,21.6,6.3,6.8,0.025,0,d,d,c,c,c
218,3.40E+12,391,2.9,7.4,3.8,9.7,0.4,0,a,a,b,a,e
219,3.40E+12,571,26,29,11,8.7,0.02,0,d,d,d,d,c
220,3.40E+12,570,17,42.5,6,6,0.0254,19.874,e,e,e,e,c
221,3.42E+12,388,9.7,14,3.1,7.4,0.8,0,d,d,b,e,e
222,3.42E+12,404,2,21.1,9.3,8.6,0.02,7,b,b,c,a,c
223,3.42E+12,416,6.1,12,9,10,0.16,0,c,c,c,b,d
224,3.42E+12,440,3.4,24,7.2,9.2,0.06,0,c,c,c,a,c
225,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
226,3.42E+12,456,4,22,6.8,8.7,0.05,0,c,c,c,a,c
227,3.42E+12,442,2.4,18,7.6,9,0.01,0,b,b,b,a,c
228,3.42E+12,415,5.2,21.7,7.6,9,0.1,0,c,c,c,b,d
229,3.42E+12,412,4.4,12,12,11,0.02,0,c,c,c,a,c
230,3.42E+12,373,0.8,19,4.9,9.3,0.03,0,a,b,b,a,c
231,3.42E+12,408,4.9,9,5.5,10,0.85,0,c,c,c,c,e
232,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
233,3.42E+12,427,3,19,8.2,10,0.05,0,c,b,b,a,c
234,3.42E+12,420,4,23,7,8.4,0.05,0,c,c,c,a,c
235,3.42E+12,456,4,22,6.8,8.7,0.05,0,c,c,c,a,c
236,3.42E+12,378,2,17,7.9,13,0.04,0,a,b,b,a,c
237,3.42E+12,415,6.1,12,8.6,10,0.16,0,c,c,c,b,d
238,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
239,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
240,3.42E+12,577,24.1,44.5,2.5,5.9,0.36,0,e,e,e,e,d
241,3.42E+12,576,27.4,26.8,10.1,7.9,0.04,0,d,d,d,d,c
242,3.42E+12,550,25.2,20.8,11.8,9,0.02,0,d,d,d,c,c
243,3.42E+12,569,22.9,45.2,2.3,6.2,0.41,0,e,e,e,e,e
244,3.42E+12,588,24.2,22.3,11.5,9.4,0.03,13.2,d,d,d,c,c
245,3.42E+12,504,15,25,3.9,8.5,0.15,0,d,d,d,d,d
246,3.42E+12,491,16,18,6.2,8.4,0.05,0,d,d,c,c,c
247,3.42E+12,471,13.7,15.6,5.7,7.5,0.03,0,d,d,c,c,c
248,3.42E+12,504,15,25,3,8.5,0.15,0,d,d,d,d,d
249,3.42E+12,483,15,18,6.9,8.5,0.05,0,d,d,d,c,c
250,3.42E+12,495,17,17,7.1,7.9,0.06,0,d,d,c,c,c
251,3.42E+12,512,16,27,2.8,7.8,0.17,0,e,e,d,e,d
252,3.42E+12,365,0.7,23,2.7,5.7,0.02,0,c,b,b,b,c
253,3.42E+12,364,1.2,20,3.9,6.5,0.02,0,b,b,b,a,c
254,3.42E+12,442,3.2,18,8,9.7,0.04,0,c,c,b,a,c
255,3.42E+12,425,2.6,18,7.6,9,0.01,0,b,b,b,a,c
256,3.42E+12,375,2,17,7.9,13,0.04,0,a,b,b,a,c
257,3.42E+12,419,2.200000048,14,9.800000191,15,0.02,0,b,b,b,a,c
258,3.42E+12,389,9.3,20,5.5,8.2,0.26,0,d,d,c,c,d
259,3.43E+12,366,19.1,15.5,3.3,8.8,0.3,0,d,d,b,d,d
260,3.43E+12,217,4,26,0.9,5.8,0.13,0,c,c,b,d,c
261,3.42E+12,456,4,22,6.8,8.7,0.05,4.1,c,c,c,a,c
262,3.43E+12,208,5.97,21.59,2.48,4.38,0.09,0,c,c,b,c,a
263,3.43E+12,208,5.97,21.59,2.48,4.38,0.09,0,c,c,b,c,a
264,3.43E+12,206,5.93,21.08,2.31,4.42,0.09,0,c,c,b,c,a
265,3.43E+12,208,5.97,21.59,2.48,4.38,0.09,0,c,c,b,c,a
266,3.45E+12,357,1.1,24,6.2,8.6,0.43,0,c,c,c,b,e
267,3.46E+12,477,14,23,5.3,6.8,0.01,0,d,d,c,d,c
268,3.45E+12,357,1.1,24,6.2,8.6,0.43,0,c,c,c,b,e
269,3.47E+12,423,11.8,15,11.5,10,0,0,d,d,c,c,c
270,3.47E+12,487,0,0,8.2,12.11,0,16.667,a,a,a,a,c
271,3.47E+12,140,3.7,14.7,0,5.6,0.11,0,c,c,a,c,c
272,3.47E+12,559,26,32,0,6.8,0,0,e,d,e,e,c
273,3.50E+12,624,10,30,5,9.3,0.02,0,d,d,d,c,c
274,3.50E+12,617,31,26,12,6.4,0.06,0,d,d,d,d,c
275,3.50E+12,588,24,46,2.8,7.5,0.15,0,e,e,e,e,d
276,3.50E+12,564,27,26,14,8,0.2,0,d,d,d,d,d
277,3.50E+12,606,9.9,41,2.7,6.8,0.07,0,e,e,d,e,c
278,3.50E+12,616,9.3,30,6,9.5,0,0,d,d,d,c,c
279,3.50E+12,616,9.3,30,6,9.5,0.06,0,d,d,d,c,c
280,3.50E+12,559,25,26,0,8.4,0.04,0,e,e,d,e,c
281,3.50E+12,590,26,47,2.5,7,0.2,0,e,e,e,e,d
282,3.50E+12,492,19,33,5.9,11,0.07,0,d,d,e,d,c
283,3.50E+12,476,8.4,27,8.6,11,0.07,0,d,d,d,c,c
284,3.52E+12,121,1.6,13,2,2.1,0.1,0,b,b,a,b,c
285,3.52E+12,160,3.8,20,1,4.1,0.1,0,c,c,b,c,c
286,3.52E+12,123,2,13,2,1.1,0.1,4,b,b,a,b,c
287,3.52E+12,124,1.6,14,2.2,1.3,0.1,0,c,b,a,c,c
288,3.52E+12,154,5.8,13,1,6.2,0.1,0,c,c,a,c,c
289,3.53E+12,232,0,62,2.3,0,0,0,c,c,a,d,a
290,3.53E+12,263,1.8,50,2.4,1.5,0,0,d,c,a,d,a
291,3.53E+12,62,0.6,9.7,0.6,3.2,0.1,0,b,b,a,b,c
292,3.56E+12,380,1,24,10,9.7,0.43,0,b,c,c,b,e
293,3.56E+12,478,13.8,22.8,5.8,6.7,0.3,0,d,d,d,d,d
294,3.56E+12,439,11,53,4.6,3.9,0.08,60,e,e,c,e,a
295,3.56E+12,450,5.9,36,2.5,6.9,0.8,0,d,d,c,e,e
296,3.56E+12,152,3.2,20,1,4.2,0.1,0,c,c,b,c,c
297,3.56E+12,496,17.1,21.6,6.7,6.3,0.05,0,d,d,c,d,c
298,3.56E+12,484,13,24,2.7,7.2,0.1,0,e,e,c,e,d
299,3.56E+12,476,13.7,22.1,8.4,6.6,0.1,0,d,d,c,d,d
300,3.56E+12,392,1.4,29,6.6,9.6,0.24,0,c,c,d,b,d
301,3.56E+12,385,1.1,28,6.3,8.2,0.48,0,c,c,c,b,e
302,3.56E+12,398,1.4,30,6.5,7.5,0.375,0,c,c,c,b,e
303,3.56E+12,392,1.4,29,6.6,9.6,0.24,0,c,c,d,b,d
304,3.56E+12,534,16,35,2.6,6.7,0.4,0,e,e,e,e,e
305,3.56E+12,449,9.600000381,22,3.1,6.400000095,0.600000024,0,d,d,c,e,e
306,3.56E+12,389,1.6,25,7.5,9.9,0.22,0,b,b,d,a,d
307,3.56E+12,497,14,27,3.5,7.8,0.1,0,d,d,d,d,d
308,3.56E+12,385,1.1,28,6.3,8.2,0.48,0,c,c,c,b,e
309,3.56E+12,128,2.6,16,1.2,3.8,0.1,0,c,b,b,c,c
310,3.56E+12,156,4.5,13,1.9,5.4,0.1,0,c,c,a,c,c
311,3.56E+12,364,14,23,2.9,6.4,0.11,0,d,d,c,e,d
312,3.56E+12,379,1.6,25,7.6,9.3,0.22,0,b,b,d,a,d
313,3.56E+12,539,18,37,5.6,9.2,0.07,16.7,e,e,e,d,c
314,3.56E+12,539,17,39,7.4,7.7,0.16,15.2,e,e,e,e,d
315,3.56E+12,376,2.8,8,8.9,11,0.03,0,a,a,b,a,c
316,3.56E+12,465,5.6,13,8,10,0.04,0,c,c,c,a,c
317,3.56E+12,479,9.7,31,2.9,6,0.26,0,d,d,d,e,d
318,3.56E+12,91,0.6,11,1.9,3.3,0.12,0,b,b,a,b,c
319,3.56E+12,386,1.1,22,4,8.3,0.29,0,b,b,b,b,d
320,3.56E+12,390,1.5,29,7.1,9.3,0.23,0,c,c,d,b,d
321,3.56E+12,324,13,21,3.7,7.8,0.25,0,d,d,c,d,d
